lobe,area
frontal,G_and_S_frontomargin
frontal,G_and_S_subcentral
frontal,G_and_S_transv_frontopol
frontal,G_front_inf-Opercular
frontal,G_front_inf-Orbital
frontal,G_front_inf-Triangul
frontal,G_front_middle
frontal,G_front_sup
frontal,G_orbital
frontal,G_precentral
frontal,G_rectus
frontal,Medial_wall
frontal,S_central
frontal,S_front_inf
frontal,S_front_middle
frontal,S_front_sup
frontal,S_orbital_lateral
frontal,S_orbital_med-olfact
frontal,S_orbital-H_Shaped
frontal,S_suborbital
temporal,G_oc-temp_lat-fusifor
temporal,G_oc-temp_med-Lingual
temporal,G_oc-temp_med-Parahip
temporal,G_temp_sup-G_T_transv
temporal,G_temp_sup-Lateral
temporal,G_temp_sup-Plan_polar
temporal,G_temp_sup-Plan_tempo
temporal,G_temporal_inf
temporal,G_temporal_middle
temporal,Lat_Fis-ant-Horizont
temporal,Lat_Fis-ant-Vertical
temporal,Lat_Fis-post
temporal,Pole_temporal
temporal,S_collat_transv_ant
temporal,S_collat_transv_post
temporal,S_temporal_inf
temporal,S_temporal_sup
temporal,S_temporal_transverse
parietal,G_and_S_paracentral
parietal,G_pariet_inf-Angular
parietal,G_pariet_inf-Supramar
parietal,G_parietal_sup
parietal,G_postcentral
parietal,G_precuneus
parietal,S_interm_prim-Jensen
parietal,S_intrapariet_and_P_trans
parietal,S_parieto_occipital
parietal,S_pericallosal
parietal,S_postcentral
parietal,S_precentral-inf-part
parietal,S_precentral-sup-part
parietal,S_subparietal
occipital,G_and_S_occipital_inf
occipital,G_cuneus
occipital,G_occipital_middle
occipital,G_occipital_sup
occipital,Pole_occipital
occipital,S_calcarine
occipital,S_oc_middle_and_Lunatus
occipital,S_oc_sup_and_transversal
occipital,S_oc-temp_lat
occipital,S_oc-temp_med_and_Lingual
occipital,S_occipital_ant
limbic,G_and_S_cingul-Ant
limbic,G_and_S_cingul-Mid-Ant
limbic,G_and_S_cingul-Mid-Post
limbic,G_Ins_lg_and_S_cent_ins
limbic,G_cingul-Post-dorsal
limbic,G_cingul-Post-ventral
limbic,G_insular_short
limbic,G_subcallosal
limbic,S_cingul-Marginalis
limbic,S_circular_insula_ant
limbic,S_circular_insula_inf
limbic,S_circular_insula_sup