area,lhhighaverage,lhlowaverage,rhhighaverage,rhlowaverage
Cerebral-White-Matter,3.96,5.16,2.84,4.06
Cerebellum-Exterior,5.36,6.41,11.96,15.08
Cerebellum-Cortex,5.65,5.56,9.56,10.70
Thalamus-Proper,6.08,5.66,6.45,8.15
Caudate,5.25,4.93,3.63,3.80
Putamen,2.40,2.70,2.93,4.26
Pallidum,4.37,4.61,4.22,4.66
Hippocampus,1.25,1.36,5.56,6.10
Amygdala,8.12,9.74,3.83,4.91
Insula,6.30,6.69,6.70,8.88
Operculum,3.53,4.27,3.57,5.13
Accumbens-area,3.29,3.25,4.49,6.31
Substancia-Nigra,7.03,6.05,6.55,6.73